T_set,Time,T_S,alpha,beta,Nbr,Type
175,10,165,75,160,M5,M-i 3r
175,10,175,45,174,M11,M-i 3r
175,10,175,40,170,M36,M-i 3r
175,10,170,70,180,M7,M-i 3r
175,10,175,55,172,M42,M-i 3r
175,10,175,40,180,M15,M-i 3r
175,10,175,60,178,M2,M-i 3r
175,10,170,38,155,M37,M-i 3f
175,10,160,90,180,M40,M-i 3f
175,10,160,90,180,M39,M-i 3f
175,10,150,55,160,M17,M-i 3f
175,10,160,70,180,M32,M-i 3f
175,10,125,50,180,M18,M-i 3f
175,10,150,80,180,M26,M-i 3f
