T_set,Time,T_S,alpha,d,beta,Nbr
150,5,141,93,,180,M9
150,10,142,92,,125,M18
150,20,146,68,,142,M24
175,5,160,62,,170,M1
175,10,173,30,,178,M29
175,20,186,20,,175,M19
200,5,190,50,,170,M35
200,10,200,20,3,179,M20
200,20,200,2,3,174,M30
250,5,235,20,,170,M3
250,10,250,0,1,175,M14
250,20,250,10,2,180,M28
